"speed","Acciona.AW77.1500","Alstom.Eco.74","Alstom.Eco.80","Alstom.Eco.110","Bonus.B23.150","Bonus.B33.300","Bonus.B37.450","Bonus.B41.500","Bonus.B44.600","Bonus.B54.1000","Bonus.B62.1300","Bonus.B82.2300","Dewind.D4.41.500","Dewind.D6.1000","Enercon.E40.500","Enercon.E40.600","Enercon.E44.900","Enercon.E48.800","Enercon.E53.800","Enercon.E66.1500","Enercon.E66.1800","Enercon.E66.2000","Enercon.E70.2000","Enercon.E70.2300","Enercon.E82.1800","Enercon.E82.2000","Enercon.E82.2300","Enercon.E82.3000","Enercon.E92.2300","Enercon.E92.2350","Enercon.E101.3000","Enercon.E112.4500","Enercon.E126.6500","Enercon.E126.7000","Enercon.E126.7500","EWT.DirectWind.52.900","Gamesa.G47.660","Gamesa.G52.850","Gamesa.G58.850","Gamesa.G80.2000","Gamesa.G87.2000","Gamesa.G90.2000","Gamesa.G128.4500","GE.900S","GE.1.5s","GE.1.5se","GE.1.5sl","GE.1.5sle","GE.1.5xle","GE.1.6","GE.1.7","GE.2.5xl","GE.2.75.103","Goldwind.GW82.1500","NEG.Micon.M1500.500","NEG.Micon.M1500.750","NEG.Micon.NM48.750","NEG.Micon.NM52.900","NEG.Micon.NM60.1000","NEG.Micon.NM64c.1500","NEG.Micon.NM80.2750","Nordex.N27.150","Nordex.N29.250","Nordex.N43.600","Nordex.N50.800","Nordex.N60.1300","Nordex.N80.2500","Nordex.N90.2300","Nordex.N90.2500","Nordex.N100.2500","Nordex.N131.3000","Nordex.N131.3300","Nordtank.NTK500","Nordtank.NTK600","PowerWind.56.900","REpower.MD70.1500","REPower.MD77.1500","REpower.MM70.2000","REpower.MM82.2000","REpower.MM92.2000","REpower.3.4M","REpower.5M","REpower.6M","Siemens.SWT.1.3.62","Siemens.SWT.2.3.82","Siemens.SWT.2.3.93","Siemens.SWT.2.3.101","Siemens.SWT.3.0.101","Siemens.SWT.3.6.107","Siemens.SWT.3.6.120","Siemens.SWT.4.0.130","Suzlon.S88.2100","Suzlon.S97.2100","Tacke.TW600.43","Vestas.V27.225","Vestas.V29.225","Vestas.V39.500","Vestas.V42.600","Vestas.V44.600","Vestas.V47.660","Vestas.V52.850","Vestas.V66.1650","Vestas.V66.1750","Vestas.V66.2000","Vestas.V80.1800","Vestas.V80.2000","Vestas.V90.1800","Vestas.V90.2000","Vestas.V90.3000","Vestas.V100.1800","Vestas.V100.2000","Vestas.V110.2000","Vestas.V112.3000","Vestas.V112.3300","Vestas.V164.7000","Wind.World.W3700","Wind.World.W4200","Windmaster.WM28.300","Windmaster.WM43.750","Windflow.500","XANT.M21.100"
18.19,1,1,0.982030842087374,1,0.802268392878529,0.847190209726001,0.906432934831631,0.910077033878723,0.966925859016631,1,1,1,1,0.822198866265728,1,1,1,1,1,0.99890977892834,1,1,1,1,1,1,1,0.999620970179475,1,1,1,1,1,1,0.999827006786682,1,1,1,1,1,1,1,0.994085224447979,1,1,1,1,1,1,1,1,1,1,1,0.928342700967027,0.968202009371322,0.976837204782591,0.996757565081285,0.965231721273378,0.913446468165046,0.998369567034827,0.854720537492111,0.982555019505419,0.998592292147501,0.978272466856218,0.966246101678885,1,1,1,1,1,1,0.935361367234339,0.931415189670069,1,0.990395224192098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.994545510891964,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.928791549670343,0.984028953307777,1,1,1,0.735757670788848
18.2,1,1,0.981748050475809,1,0.801967196410037,0.846963757170181,0.90608633995956,0.909553721210911,0.966602746260383,1,1,1,1,0.821287912724899,1,1,1,1,1,0.998908764971021,1,1,1,1,1,1,1,0.999609297623801,1,1,1,1,1,1,0.999821679308989,1,1,1,1,1,1,1,0.993970597799065,1,1,1,1,1,1,1,1,1,1,1,0.928176068410897,0.967924820330129,0.976681945638683,0.996702113150955,0.965047307188009,0.91321993408819,0.998377800451312,0.854416630021316,0.982823163792548,0.99849534264249,0.978062098061182,0.966147629436158,1,1,1,1,1,1,0.93491386482109,0.931391092328614,1,0.990439557745609,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.994523081814811,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.928156883834264,0.983722530045766,1,1,1,0.734796321652706
18.21,1,1,0.981463377034214,1,0.801667686108272,0.846740807641429,0.905747826490604,0.909029307343558,0.966278196541745,1,1,1,1,0.820379112044552,1,1,1,1,1,0.99890757609712,1,1,1,1,1,1,1,0.999598364749991,1,1,1,1,1,1,0.999816689429912,1,1,1,1,1,1,1,0.993854537132184,1,1,1,1,1,1,1,1,1,1,1,0.928012964152012,0.967647518562449,0.97652644588952,0.996646447603895,0.964863069748908,0.912992927626869,0.998385895411436,0.854115494499289,0.983092692096576,0.99839614205264,0.977851274644982,0.966054260438881,1,1,1,1,1,1,0.934466667823489,0.931370848111106,1,0.990485051322026,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.994501166231017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.927520666029716,0.983412785365801,1,1,1,0.73383742846739
18.22,1,1,0.981176856600934,1,0.801369857769055,0.846521317256032,0.905417253070497,0.908503828292306,0.965952217045067,1,1,1,1,0.819472401087115,1,1,1,1,1,0.998906162451514,1,1,1,1,1,1,1,0.999588158992848,1,1,1,1,1,1,0.999812031414561,1,1,1,1,1,1,1,0.993737035430319,1,1,1,1,1,1,1,1,1,1,1,0.92785333112328,0.967370136344825,0.976370711610428,0.996590563016648,0.964678989515838,0.91276546489632,0.998393855680033,0.853817063511437,0.983363501757849,0.998294695360374,0.97763999497061,0.965965903318472,1,1,1,1,1,1,0.934019794245824,0.93135441075141,1,0.990531530979557,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.994479751825932,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.926882983388907,0.983099765956765,1,1,1,0.732880983665257
18.23,1,1,0.980888524014317,1,0.801073707188204,0.846305242130276,0.905094478344975,0.907977320072798,0.965624814954696,1,1,1,1,0.818567716715021,1,1,1,1,1,0.998904474179077,1,1,1,1,1,1,1,0.999578667787178,1,1,1,1,1,1,0.999807699528049,1,1,1,1,1,1,1,0.993618085676447,1,1,1,1,1,1,1,1,1,1,1,0.927697112257607,0.9670927059538,0.976214748876735,0.996534453965757,0.964495047048561,0.912537562011778,0.998401685021939,0.853521269643168,0.983635490116716,0.998191007548117,0.97742825740106,0.965882466706344,1,1,1,1,1,1,0.933573262092382,0.931341733983393,1,0.990578822776407,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.994458826284906,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.926243923044043,0.982783518507536,1,1,1,0.731926979678661
18.24,1,1,0.98059841411271,1,0.800779230161538,0.846092538380447,0.904779360959771,0.907449818700676,0.96529599745498,1,1,1,1,0.817664995790699,1,1,1,1,1,0.998902461424688,1,1,1,1,1,1,1,0.999569878567787,1,1,1,1,1,1,0.999803688035489,1,1,1,1,1,1,1,0.993497680853551,1,1,1,1,1,1,1,1,1,1,1,0.927544250487902,0.966815259665917,0.976058563763767,0.996478115027764,0.964311222906842,0.91230923508848,0.998409387201989,0.853228045479889,0.983908554513526,0.998085083598292,0.977216060299326,0.965803859233914,1,1,1,1,1,1,0.933127089367451,0.931332771540919,1,0.990626752770782,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.994438377293289,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.925603572127332,0.982464089706996,1,1,1,0.730975408939959
18.25,1,1,0.980306561734459,1,0.800486422484877,0.845883162122833,0.90447175956062,0.906921360191583,0.964965771730268,1,1,1,1,0.816764175176581,1,1,1,1,1,0.998900074333223,1,1,1,1,1,1,1,0.999561778769481,1,1,1,1,1,1,0.999799991201994,1,1,1,1,1,1,1,0.993375813944609,1,1,1,1,1,1,1,1,1,1,1,0.927394688747072,0.96653782975772,0.975902162346852,0.996421540779211,0.964127497650442,0.912080500241664,0.998416965985019,0.852937323607007,0.984182592288624,0.997976928493322,0.977003402028402,0.965729989532597,1,1,1,1,1,1,0.932681294075317,0.931327477157854,1,0.990675147020889,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.994418392536432,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.92496201777098,0.982141526244025,1,1,1,0.730026263881504
18.26,1,1,0.980013001717912,1,0.80019527995404,0.84567706947372,0.904171532793257,0.906391980561161,0.964634144964909,1,1,1,1,0.815865191735096,1,1,1,1,1,0.998897263049558,1,1,1,1,1,1,1,0.999554355827064,1,1,1,1,1,1,0.999796603292675,1,1,1,1,1,1,1,0.993252477932604,1,1,1,1,1,1,1,1,1,1,1,0.927248369968026,0.96626044850575,0.975745550701316,0.99636472579664,0.963943851839126,0.911851373586564,0.998424425135863,0.852649036609931,0.984457500782361,0.997866547215631,0.97679028095128,0.965660766233809,1,1,1,1,1,1,0.932235894220269,0.931325804568064,1,0.990723831584933,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.994398859699684,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.924319347107194,0.981815874807505,1,1,1,0.729079536935653
18.27,1,1,0.979717768901414,1,0.799905798364845,0.845474216549394,0.903878539303416,0.905861715825053,0.964301124343251,1,1,1,1,0.814967982328676,1,1,1,1,1,0.998893977718571,1,1,1,1,1,1,1,0.999547597175341,1,1,1,1,1,1,0.999793518572646,1,1,1,1,1,1,1,0.993127665800514,1,1,1,1,1,1,1,1,1,1,1,0.927105237083672,0.965983148186553,0.975588734902487,0.996307664656593,0.963760266032656,0.911621871238417,0.998431768419357,0.852363117074068,0.984733177335083,0.997753944747643,0.976576695430955,0.965596097968965,1,1,1,1,1,1,0.931790907806593,0.931327707505413,1,0.990772632521122,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.994379766468397,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.92367564726818,0.981487182086314,1,1,1,0.728135220534762
18.28,1,1,0.979420898123313,1,0.799617973513112,0.845274559466141,0.903592637736832,0.905330601998901,0.963966717049641,1,1,1,1,0.814072483819751,1,1,1,1,1,0.998890168485137,1,1,1,1,1,1,1,0.999541490249119,1,1,1,1,1,1,0.999790731307018,1,1,1,1,1,1,1,0.99300137053132,1,1,1,1,1,1,1,1,1,1,1,0.926965233026915,0.965705961076669,0.975431721025691,0.996250351935614,0.963576720790796,0.91139200931246,0.998438999600337,0.852079497584825,0.98500951928714,0.997639126071781,0.976362643830419,0.965535893369481,1,1,1,1,1,1,0.931346352838577,0.931333139703768,1,0.990821375887661,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99436110052792,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.923031005386147,0.981155494769335,1,1,1,0.727193307111184
